rank,population,distance
1,Maltese,0.0239
2,Italian Calabria,0.0242
3,Sicilian Central,0.0264
4,Italian Campania,0.0273
5,Italian Campania Naples (Campanian),0.0277
6,Greek Dodecanese,0.0289
7,Sicilian East,0.029
8,Sicilian Syracuse,0.0291
9,Sicilian,0.0295
10,Greek Crete Lasithi,0.0303
11,Greek Crete,0.0305
12,Sicilian Trapani,0.0309
13,Greek Dodecanese Kos,0.031
14,Greek Kos,0.031
15,Italian Calabria (Cosentian),0.031
16,Greek Cyprus,0.0322
17,Cypriot,0.0326
18,Italian Basilicata,0.0326
19,Italian Basilicata (Lucanian),0.0328
20,Greek Crete Rethymno,0.0331
21,Italian Apulia,0.0341
22,Turkish Cyprus,0.0342
23,Greek Cyclades Amorgos,0.035
24,Sicilian West,0.0357
25,Greek Euboea Central,0.0365
26,Italian Apulia (Apulian),0.0368
27,Greek Crete Heraklion,0.0381
28,Greek Crete Chania,0.0385
29,Italian Campania Benevento (Campanian),0.0389
30,Italian Campania Salerno (Campanian),0.0391
